user_id,cellphone_id,rating,explanations
32,13,1,too expensive
32,26,9,high performance and strong camera specs
32,11,1,too expensive
32,31,3,inexpensive but very weak
32,20,2,I never heard of this brand
32,30,1,inexpensive but very weak
32,6,2,too expensive for such weak specs
32,10,8,reasonable price for decent specs
33,30,10,Batery
33,29,9,Batery
33,13,8,Ram and Rom
33,6,8,Camera
33,2,10,Brand
33,19,10,Brand
33,9,10,camera
33,10,10,Ram
33,25,10,Camera
33,32,8,Rom
35,19,7,good price
35,12,2,high price
35,26,2,high price
35,17,3,medium high price
35,23,2,high price
35,0,6,good price
35,18,9,very cheap price
35,27,7,good price
35,6,5,medium high price
35,4,1,very over priced
36,2,10,like apple and this model
36,26,1,not familiar with brand
36,6,1,not familiar with brand
36,1,6,don't want a mini but like apple
36,5,6,not big enough memory
36,10,4,not an android fan
36,22,4,not familiar with brand
36,14,1,don't want a folding phone
36,9,4,android not my 1st choice
36,17,2,google 3rd on my list
37,24,6,due to performance 
37,32,5,due to camera
37,28,10,due to ram
37,7,1,due to ram
37,18,5,due to camera
37,31,2,due to ram
37,23,9,due to gb
37,30,1,due to gb
37,13,5,due to ram
37,15,5,due to ram
38,1,7,comfort
38,30,4,reliable
38,5,8,camera quality best
38,24,7,best perfomance
38,10,7,branded
38,15,2,not much
38,2,8,high quality
38,11,7,perfome 
38,6,5,average
38,25,6,good port
52,20,10,it was very highest performance
52,0,5,it was very big screen size
52,13,4,it was a high internal memory
52,27,6,ram was acceptble
52,26,8,price was acceptable
52,8,1,screen size was comfortable
52,5,2,selfie camera was very nice
52,3,2,internal memory was very high
52,24,5,it was very high battery size
52,15,5,very high main camera size
53,32,9,very likly
53,5,8,save battery
53,15,10,save battery
53,4,9,clear camara
53,26,9,clear camara
53,9,8,low price
53,7,8,best screen size
53,29,8,good perfomence
53,25,9,good life
53,17,8,good life
56,15,5,GOOD
56,32,3,VERY USEFULL
56,30,2,MP LEVEL HIGH
56,5,9,very quality
56,25,3,better
56,1,9,storage
56,12,5,quality
56,8,10,very nice
56,17,6,good
56,13,9,very well
60,16,6,The screen size is amazing
60,11,3,The performance wise it is good
60,32,8,The model and price is cheap
60,9,5,The main camera MP is too clear
60,28,1,THe price is rich in quality 
60,26,9,The RAM wise cheap
60,15,4,The weight was more than 150g
60,31,10,Very low cost
60,13,2,THe internal memory is more than 100 GB
60,29,7,THe battery size is nice than others
74,26,8,Trend Model
74,25,7,High Memory
74,17,7,High Ram
74,11,8,Good Brand
74,21,7,Good performance
74,8,6,Good Brand
74,30,6,Low price
74,28,7,Very high Memory
74,32,7,Latest model
74,16,6,High Memory
79,16,8,Very high memory
79,11,8,Good brand
79,19,7,Latest model
79,10,8,High performance
79,3,9,Very high memory
79,23,8,Very high memory
79,32,7,Big Battery size
79,31,5,Low price
79,14,7,Very high memory
79,5,6,Good brand
80,7,8,brand
80,19,7,storage
80,30,8,quality
80,9,9,brand
80,28,9,price
80,31,8,storage
80,22,10,quality
80,5,7,camera
80,8,8,quality
80,2,9,storage
84,25,1,don't know the bran
84,2,10,they make reliable hardware
84,31,9,Ive had good experiences in the past with their products
84,28,10,their hardware has always worked very well
84,21,1,never heard of this brand
84,7,10,I am loyal to samsung
84,30,9,Motorola is reliable and dependable
84,14,10,Samsung's product are great
84,17,9,My friend has recommended the google pixel to me
84,26,1,Don't know or trust this brand
85,18,1,I will never use an Android.
85,30,1,Androids are not built to last.
85,25,1,Androids are a joke and not even worth buying.
85,1,10,Apple products are always promising.
85,15,1,Androids are poorly made.
85,2,10,iPhones are such great products that work with everything!
85,4,10,I will always choose iPhones because they help my life function.
85,14,1,Androids are poorly made and always break.
85,17,1,Androids are always falling apart.
85,21,1,Androids are not superior and always a mess.
91,31,8,very good price range
91,16,7,good camera quality but all others feature are low
91,1,9,its had power full processor
91,2,9,high range mobile with quality
91,15,6,excellent phone for camera lover
91,22,5,its need to improve more
91,19,8,overall good product and fine performance
91,21,8,impressive mobile and its had good price
91,12,9,very high quality mobile
91,11,7,good mobile with high resolution features
95,17,9,Stable software
95,22,10,Durability
95,30,5,Good camera
95,25,9,reliability
95,29,6,Quality
95,27,7,Good Display
95,6,7,Good camera
95,32,4,Durability
95,15,5,reliability
95,5,5,Stable
98,0,10,storage
98,2,9,quality
98,12,9,brand
98,20,7,color
98,24,8,memory
98,8,9,brand
98,9,8,storage
98,32,6,size
98,10,9,brand
98,7,8,battery
99,17,10,pixel camera
99,26,9,full hd
99,13,10,without taking more space
99,22,10,3d structured light
99,21,9,load multiple application
99,4,10,lightning connector
99,8,9,reliable processor
99,3,10,biggest pro camera
99,25,10,leading computational videography
99,30,10,multi day battery life
100,20,10,good result given
100,27,9,it had a high ram
100,24,8,low price better experience
100,30,8,budget friendly
100,29,8,high quality
100,8,10,best result
100,26,8,long time usage
100,7,9,friendly budget for all people
100,13,10,high experience
100,10,9,clear camera
104,30,6,like it
104,24,7,speed is good
104,13,8,love it
104,12,9,network speed
104,15,8,communication is easy
104,11,10,faster
104,28,10,speeder
104,31,10,good
104,27,8,like
104,16,10,good one
105,17,8,brand
105,18,7,storage
105,4,10,quality
105,19,6,memory
105,9,8,size
105,12,9,colour
105,14,9,reviews
105,22,8,storage
105,7,9,brand
105,20,10,color
106,24,7,User friendly
106,20,6,easy to use
106,15,7,cost effective
106,14,8,good features
106,4,6,effective apps
106,26,7,good features
106,18,5,fine
106,5,6,good
106,12,8,good
106,16,7,excellent
110,8,2,Small internal memory
110,12,6,Quite possibly would buy.
110,27,1,Never heard of the brand
110,31,2,Small internal memory
110,24,1,Never heard of the brand
110,5,2,Small internal memory
110,3,3,I don't like Apple products
110,29,6,Would prefer the A53
110,9,7,It's most similar to what I have now.
110,14,1,Don't want a foldable phone
111,8,4,GAMERA
111,4,1,GOOD
111,7,3,BATTERY LIFE
111,20,10,GOOD
111,25,5,GOOD
111,30,9,GOOD
111,5,2,SAFE
111,23,7,OK
111,18,6,NCE
111,26,8,DUPER
112,17,10,great product
112,23,10,great product
112,13,8,great product
112,27,9,great product
112,11,1,don't like it
112,31,2,don't like it
112,6,4,don't like it
112,29,3,don't like it
112,14,2,don't like it
112,3,8,great product
113,14,5,I like flip and folding phones
113,1,5,A mini might be too small to see properly
113,29,2,I'm not sure how well this would work
113,27,1,I've never heard of this brand
113,3,10,IPhone is a popular brand
113,26,1,No clue how this brand works
113,7,10,Samsung is a very good brand
113,21,1,I've never heard of this brand
113,15,6,This could work well for me
113,4,10,Apple is a good phone
114,3,7,good performance but expensive
114,22,8,excellent performance
114,28,7,too expensive
114,24,6,low storage
114,8,6,poor performance
114,29,6,poor performance
114,4,7,too expensive
114,25,8,good performance for the price
114,12,9,good value
114,26,8,good performance for the price
115,7,1,The memory is very low as well as the performance.
115,25,10,memory and performance and camera very high
115,3,7,performance and memory high but really expensive
115,6,7,expensive but good ratings
115,11,9,expensive but very good ratings overall
115,2,6,expensive for a low ram
115,13,4,expensive and has a lower rating
115,19,7,overall pretty good stats and a reasonable price
115,30,5,cheap but camera quality is too low
115,26,10,Best rating and more reasonable price than others of that quality
116,19,1,don't like android
116,4,10,lots of memory
116,20,1,don't like android
116,10,1,don't like android
116,12,1,don't like android
116,13,1,don't like android or flip
116,3,10,good memory storage
116,16,1,don't like android
116,31,1,don't like android
116,27,1,I prefer Iphone
119,25,8,fair price
119,3,1,Have one excellent
119,16,4,solid name
119,7,5,cheap but good brand
119,23,9,unkown brand
119,10,3,good reputation good phone
119,11,2,Good phone good reputation
119,28,10,too expensive
119,19,7,cheap price
119,15,6,good name
120,8,10,GOOD
120,7,8,VERY USEFULL
120,9,6,MP LEVEL HIGH
120,25,5,very quality
120,30,6,better
120,29,10,storage
120,17,8,quality
120,20,8,very nice
120,21,7,good
120,1,7,very well
123,24,8,User friendly
123,14,7,easy to use
123,19,7,cost effective
123,3,8,good features
123,8,7,effective apps
123,12,8,good features
123,29,7,good cost
123,2,6,fine battery
123,31,7,easy download
123,26,7,excellent handling
124,18,6,bettery size
124,19,9,8GB
124,14,8,SELFIE CAMERA
124,13,6,SCRREN SIZE
124,16,6,I like the performance
124,29,8,good
124,25,9,better
124,6,8,quality
124,24,7,4gb
124,7,9,screen size
126,14,9,high quality
126,18,7,good appearance
126,10,8,good nature
126,1,7,highly recommended
126,4,9,good view
126,32,6,good for daily usage
126,5,10,nice model
126,12,10,attractive
126,25,8,good model
126,22,8,good features
128,24,5,good storage
128,14,6,nice quality
128,8,8,quality cemera
128,4,6,battery well storage
128,6,5,good quality
128,13,4,good storage
128,23,8,good cemera power
128,28,5,battery was nice
128,12,5,quality good
128,32,2,full usefully
129,18,6,high quality
129,4,8,affordable
129,27,9,high rating
129,9,10,good nature
129,26,7,good look
129,5,9,good nature
129,31,7,good storage
129,21,7,best view
129,25,9,best model
129,2,10,attractive
137,1,7,high quality
137,9,9,high rating
137,14,9,good nature
137,16,7,high view
137,31,10,NATURE APPEARENCE
137,25,8,good looking
137,32,10,attractive
137,22,9,good rating
137,26,6,affordable
137,19,6,high price
140,6,7,good quality
140,18,7,good product
140,32,9,nice appeal
140,14,8,high rating
140,20,10,attractive
140,19,9,nice rate
140,11,9,good view
140,3,8,high quality
140,15,8,nice appear
140,13,10,appealing
142,31,7,User friendly
142,22,8,easy to use
142,12,8,cost effective
142,17,8,good features
142,28,7,effective apps
142,15,7,easy to use features
142,9,7,good cost
142,32,8,fine battery
142,11,6,easy download
142,6,7,excellent handling
143,10,8,User friendly
143,22,8,easy to use
143,18,7,cost effective
143,28,7,good features
143,4,8,effective apps
143,32,6,easy to use features
143,27,6,good cost
143,19,7,fine battery
143,13,7,easy download
143,14,8,excellent handling
144,30,7,this is good in terms of battery but low in internal and ram are low
144,5,10,best in all formate
144,28,9,good one
144,22,7,fine but not up to the mark
144,32,7,good
144,15,9,very good mobile
144,3,10,very well
144,18,8,fine not too good
144,8,8,good one
144,29,7,good
145,5,8,User friendly
145,29,7,easy to use
145,30,7,cost effective
145,24,7,good features
145,0,8,effective apps
145,15,8,easy to use features
145,26,7,good cost
145,28,6,fine battery
145,19,7,easy download
145,10,8,excellent handling
148,3,10,Great iOS and internal memory
148,18,2,low performance
148,6,4,not a fan of brand
148,16,2,low camera quality
148,26,5,Not a fan of the brand
148,0,10,Big size of internal memory and light wei
148,1,10,Big size of internal memory and light wei
148,24,5,not a fan of the brand
148,5,4,low internal memory
148,2,10,Great battery size and lighter weight
152,25,9,great product
152,5,9,great product
152,27,7,great product
152,24,5,average product
152,4,8,great product
152,10,2,don't like it
152,28,2,don't like it
152,15,1,don't like it
152,8,2,don't like it
152,19,8,great product
154,25,7,good quality
154,6,9,high rating
154,21,6,good looking
154,13,6,best view
154,20,6,good features
154,30,6,useful for office
154,4,10,attractive
154,27,9,best features
154,11,8,good view
154,8,9,high quality
156,21,8,battrey life
156,12,9,camara perfect
156,26,8,internal memory ib best
156,28,8,operating systerm is good
156,5,10,low price
156,22,8,best battery
156,1,10,weight less phone
156,9,8,battery quality
156,19,9,picture cliarance
156,23,6,sellfi camara is clear
160,8,1,low specs
160,27,3,brand not trustworthy
160,12,10,high end phone
160,31,1,low specs
160,7,1,low specs
160,9,6,good price for specs
160,6,4,brand not trustworthy
160,20,7,good price for specs
160,30,1,low specs
160,18,1,low specs
162,30,9,This products is the very high process.
162,17,8,Good camera
162,4,6,good specification
162,24,8,no hanging process
162,8,9,Good battery life.
162,32,7,high voltage
162,10,6,clear voice
162,5,8,camera clearity
162,0,7,good camera
162,3,8,high process.
164,26,8,RAM power was high
164,9,6,price was cheaf
164,2,7,iphone best condition
164,28,8,internal memory was so high performance
164,17,6,Pro max it is best rate
164,4,4,that mainly clear apple iphone
164,23,6,price that best condition
164,7,8,32gb ram was best to high
164,16,5,main camera was so high
164,24,7,that lof of profit in the redmi note that cost was easy to buy
169,31,1,The specification of this phone is outdated
169,1,5,It has some good specification
169,5,7,The screen size is good
169,25,9,It has the latest technology
169,3,10,It has a pretty good camera
169,27,7,It is good but need some more advancement
169,2,10,compact and has a good camera
169,12,10,emmy@wcaltd.comery good specification loved it
169,9,8,Very good specification
169,26,8,outdated specification
178,1,10,very attractive
178,10,9,good model
178,14,5,improive more
178,4,10,good camera
178,12,8,long life battery
178,0,9,good security
178,32,6,impove designs
178,22,9,good starage
178,7,10,good camera
178,15,10,good model
183,14,7,ram high
183,22,6,best performance
183,20,8,best price
183,17,5,battery quality
183,27,5,good main camara
183,32,7,low price
183,28,7,memory type
183,30,6,low price
183,7,6,good screen type
183,2,8,good type
194,10,7,WORTH FOR THE PRICE
194,8,8,VALUABLE BATTERY POWER
194,1,9,EXCLUSIVE BRAND AND MODEL
194,11,5,MAIN CAMERA WAS WORTH
194,19,4,SELFIE CAMERA IS GOOD IN SIZE
194,18,2,PERFORMANCE LEVEL WAS WORST
194,9,3,GOOD QUALITY
194,22,8,OVERALL PERFROMANCE IS GOOD
194,3,6,BRAND MODEL WAS HIGHLY RELIABLE
194,7,8,WORTH FOR BUYING
200,16,3,THe weight is more than 150g
200,17,4,THe selfie camera quality is oursome
200,30,9,RAM is very low GB
200,20,7,The screen size is more than 5
200,13,2,RAM was too good
200,31,10,Very low price
200,11,1,The price wise good
200,32,8,Very low internal memory
200,6,5,THe performance wise too perfect
200,21,6,Model is too boring
203,32,7,The perfomance wise is verylow
203,30,9,the internal memomery is very good
203,31,10,It is very low price
203,29,5,The battery size is greater than others
203,1,4,The screen size is very low
203,8,8,The weight is more than others
203,11,1,The perfomence wise is good
203,13,2,The selfie camera is more than others
203,23,3,The internal memory is more than othrs
203,27,6,The main camera is very good
204,19,6,BATTERY AND THE INTERNAL MEMORY WAS ACCEPTABLE
204,24,5,BATTERY POWER WAS ACCEPTABLE
204,12,8,IT HAS A LOWER RAM POWER
204,30,3,PERFORMANCE SCORE WAS RELIABLE
204,0,9,INTERNAL MEMORY WAS COMPARATIVELY LOWER
204,32,3,RAM AND MAIN CAMERA WAS WELL QUALIFIED
204,25,9,IT HAS 8 GB RAM POWER
204,7,7,IT HAS THE ONLY 20 MP POWER  ON CAMERA
204,18,8,"OVERALL ALL , IT HAS GOOD CHARACTERISTICS , SO IT WAS FAIR FOR THE QUOTED AMOUNT"
204,15,6,SCREEN SIZE WILL NEED BETTER SIZE
208,27,7,good quality
208,0,7,good product
208,17,8,nice appeal
208,13,10,high rating
208,12,8,attractive
208,30,8,nice rate
208,18,10,good view
208,16,8,high quality
208,2,8,nice appear
208,22,7,appealing
211,23,8,Performance is good
211,20,7,BATTERY BACKUP IS GOOD
211,3,8,PROCESSER IS GOOD
211,29,9,GAMING IS GOOD
211,13,7,CAMERA is good
211,2,8,OS is good and clean
211,22,6,PHONE LOOKS SLEAKY
211,10,7,OVERALL GOOD
211,24,8,CAMERA IS NEAT
211,14,8,HANDLING IS GOOD
215,23,8,PERFORMANCE IS GOOD
215,9,7,HANDLING IS GOOD
215,32,6,GAMING IS GOOD
215,18,7,RESOLUTION IS GOOD
215,0,9,CAMERA QUALITY IS GOOD
215,15,7,PROCESSER IS GOOD
215,10,7,CAMERA IS GOOD
215,17,8,PERFORMANCE AND CAMERA IS GOOD.
215,12,8,OVERALL IS GOOD.
215,3,7,PERFORMANCE IS GOOD.
226,8,7,high quality
226,32,7,good appearance
226,1,9,good nature
226,22,10,highly recommended
226,24,8,good view
226,18,10,good for daily usage
226,12,8,good
226,0,10,attractive
226,15,9,good model
226,5,9,good features
227,23,7,good quality
227,14,7,high rating
227,6,8,good looking
227,8,7,best view
227,16,6,good features
227,3,10,useful for office
227,24,10,attractive
227,31,9,best features
227,0,8,good view
227,2,7,high quality
230,24,8,high quality
230,7,8,high rating
230,32,7,good nature
230,29,8,high view
230,5,10,NATURE APPEARENCE
230,28,9,good looking
230,30,8,attractive
230,16,8,good rating
230,8,7,affordable
230,18,7,high price
231,6,10,compact
231,9,7,cool
231,30,4,old
231,19,8,over price
231,17,10,camera beast
231,15,10,value for money
231,24,5,worst
231,25,7,good quality
231,27,9,value for money
231,4,6,good but too cost
232,27,4,too expensive
232,18,6,more reasonable
232,13,6,"I like the flip design, still too expensive."
232,15,4,too expensive
232,31,4,fine if I needed a budget phone.
232,7,4,decent camera for a budget phone.
232,10,7,"reliable, probably reasonable price."
232,3,7,"very reliable, way too expensive."
232,25,8,great value for what you get
232,12,3,way too expensive.
233,8,1,low specs
233,27,3,brand  not trustworthy
233,12,10,high end phone
233,31,1,low specs
233,7,1,low specs
233,9,6,good price for specs
233,6,4,brand  not trustworthy
233,20,7,good price for specs
233,30,1,low specs
233,18,1,low specs
234,20,4,i'm somewhat familiar with android OS and this has more ram than the next choice
234,10,8,samsung would be my next choice and this seems to have a better camer
234,13,7,the other samsung
234,6,1,this became #1 by process of elimination
234,30,1,very little ram and memory
234,25,6,the amount of memory
234,1,10,i prefer iphones
234,16,5,google is a pretty trusted brand so this would be my next choice
234,5,9,"i prefer iphones, but this is a later model"
234,18,3,"same reason as choice #4, but less ram"
235,18,10,its very nice model
235,8,8,its also nice model
235,30,6,i dont know
235,16,7,i dont use this model
235,23,8,very nice
235,25,9,its very good model
235,9,8,i dont use it
235,1,10,its always nice model
235,27,10,nice
235,0,10,its very good model
236,29,10,Lot of ram and good brand
236,1,10,Apple is reliable
236,30,1,Not enough ram
236,27,1,Don't trust brand
236,9,10,Samsung has reliable products
236,3,10,Apple makes good products
236,31,2,Good brand name but not enough ram
236,19,8,wor dof mouth says oneplus is not that good
236,16,10,"Have used a pixel in the past, enjoyed it"
236,13,10,Good brand and plenty of ram
237,19,9,Good price to performance ratio
237,22,6,"Excellent performance and memory, but high price"
237,30,5,"Great price, but bad memory, RAM, and performance"
237,13,3,Overpriced relative to performance and other specs
237,20,6,"Solid performance and features, but highlhy priced"
237,2,6,"Similar specs as the OnePlus 10 pro, but a little cheaper"
237,24,5,Cheap and decent value
237,15,4,Mid tier pricing but not as good as other options in that price range
237,25,8,Good mid range specs and performance for a competitive price
237,8,3,Compares poorly to the other low budget options
238,25,9,great product
238,5,9,great product
238,27,7,great product
238,24,5,average product
238,4,8,great product
238,10,2,don't like it
238,28,2,don't like it
238,15,1,don't like it
238,8,2,don't like it
238,19,8,great product
240,16,7,camera is good
240,20,8,performance is good
240,23,7,camera is good
240,27,6,GAMING IS GOOD
240,28,5,CAMERA is good
240,9,7,OS is good and clean
240,21,8,performance is good
240,17,7,OVERALL GOOD
240,1,8,CAMERA IS NEAT
240,7,7,HANDLING IS GOOD
242,24,4,WORST
242,22,7,AVERAGE
242,8,5,WORST
242,13,6,NOT BAD
242,17,7,GOOD
242,4,8,BEST
242,1,7,AVERAGE
242,29,2,WORST
242,31,2,WORST
242,10,8,BEST
243,7,8,Good processing
243,15,8,good camera
243,13,7,storage
243,24,6,game processing
243,23,10,Good camera
243,28,8,Good performance
243,21,6,camera good
243,20,9,storage
243,6,8,gaming procesas
243,18,9,good os process
244,29,8,good processing
244,12,9,good camer
244,17,8,STORAGE
244,20,9,GOOD RAM
244,25,9,SPECIFICATION
244,19,9,STORAGE
244,24,9,OS
244,5,8,GOOD PROCESSOR
244,9,9,STORAGE
244,0,9,GOOD PROCESSOR
245,2,6,AVERAGE
245,24,3,WORST
245,19,7,GOOD
245,4,8,BEST QUALITY
245,22,10,CAMERA QUALITY
245,27,7,AVERAGE
245,25,7,AVERAGE
245,31,2,WORST
245,15,5,NOT BAD
245,11,7,GOOD
246,17,7,GOOD
246,6,6,AVERAGE
246,7,2,WORST CAMERA
246,8,3,FAIR
246,29,3,WORST PERFORMANCE
246,28,6,AVERAGE
246,0,8,GOOD BUT AVERAGE BATTERY
246,20,8,BEST PERFORMANCE
246,23,9,WORTH FOR PRICE
246,30,1,VERY BAD
251,15,7,Trustable brand and specs are really worth for money
251,32,6,I never used any Motorola mobile
251,2,7,One of my favt. mobile brand
251,10,7,It's so easy to use the OS interface
251,20,8,Long lasting battery experience
251,25,7,Performance of this simply awesome
251,18,6,It has a middle level specification and somewhatworth for money
251,21,8,I really loved the performance of this model
251,22,7,simply worth for money
251,4,8,Camera feature is so nice
252,6,10,compact
252,9,7,cool
252,30,4,old
252,19,8,over price
252,17,10,camera beast
252,15,10,value for money
252,24,5,worst
252,25,7,good quality
252,27,9,value for money
252,4,6,good but too cost
253,7,8,Good camera quality
253,21,7,Good Processor
253,8,6,Good camera
253,0,8,Good Internal memory
253,3,4,Good Internal memory
253,30,6,Good battery power
253,4,8,Good performence
253,28,7,Internal Memory good
253,16,9,Good performence
253,15,9,Good Ram
254,16,6,NICE
254,21,4,useful
254,1,5,helpful
254,26,18,reliable
254,11,4,best
254,20,8,nice
254,30,5,better
254,5,10,better
254,32,8,credible
254,14,7,informative
255,8,10,Camera was very high
255,21,10,battery was very high
255,9,10,nice looking
255,1,10,model was comfortable
255,12,10,internal memory was acceptablle
255,4,10,screen size was good
255,25,10,brand name was relable
255,6,10,selfie camera was acceptable
255,14,10,RAM was very high
255,13,10,ram was acceptable
256,2,7,Good camera quality
256,25,8,Good Processor
256,4,5,Good performence
256,12,7,Good Internal memory
256,31,7,Good battery power
256,22,6,Good camera
256,18,8,Good Internal memory
256,32,9,Good camera
256,16,7,Good performence
256,15,9,Good Ram
257,4,8,High Memory
257,12,7,High RAM
257,25,8,High Memory and RAM
257,0,7,Latest Model
257,29,7,High MP for camera
257,8,5,Price was low
257,17,9,High Memory
257,30,5,Price was too low.
257,2,6,Good brand
257,20,8,High RAM
258,22,9,High Memory and RAM.
258,6,7,High MP for main camera.
258,29,6,High Battery size.
258,26,7,Good performance
258,15,6,High Memory
258,31,5,Low Memory and low performance
258,17,8,High RAM
258,23,9,High Memory and RAM.
258,27,8,High MP for main camera
258,24,6,Low performance
