id,gender,age,occupation_code,zip,last_rate
2527,M,35,15,36109,2000-11-12 21:47:15
2530,M,18,0,42420,2000-11-12 20:47:14
2543,F,35,0,42420,2000-11-12 17:48:31
2549,M,56,13,37938,2000-11-12 15:06:38
2553,M,25,7,29369,2000-11-12 05:03:00
2582,F,25,1,97201,2000-11-10 21:39:56
2584,F,56,1,94563,2000-11-12 00:56:05
2613,M,35,1,92120,2000-11-08 21:17:03
2626,M,56,1,04056,2001-01-23 06:33:11
2640,M,35,12,78230,2000-11-07 06:15:12
2644,M,18,15,45215,2000-11-07 03:44:19
2646,M,45,17,18049,2000-11-07 02:59:06
2647,F,35,11,15116,2000-11-07 02:52:37
2657,F,1,10,47403,2000-11-14 05:17:07
2671,F,35,12,54220,2000-11-05 17:22:07
2673,M,35,7,77040,2000-12-02 14:33:05
2686,M,25,0,85283,2000-11-04 23:21:49
2687,M,1,10,08805,2000-11-05 09:24:58
2690,M,25,7,24210,2000-11-04 15:31:57
2696,M,25,7,24210,2000-11-04 05:35:20
2705,M,25,1,27713,2000-11-04 02:43:32
2707,M,56,13,24060,2000-11-18 00:51:22
2714,M,18,4,96815,2000-11-03 23:29:00
2716,F,50,4,96825,2000-11-03 23:38:53
2722,M,35,7,22043,2000-11-03 20:56:32
2729,M,50,7,17402,2000-11-03 16:59:51
2735,M,25,7,22903,2000-11-03 07:02:13
2755,M,35,7,29631,2000-11-02 21:43:54
2759,M,25,7,36102,2000-11-02 15:46:56
2799,M,18,0,55404,2000-10-30 02:50:13
2813,M,25,20,55406,2000-10-28 04:01:51
2816,M,25,7,60015,2000-10-28 00:32:47
2819,M,45,14,44122,2000-10-27 18:25:18
2834,M,35,1,33304,2000-10-26 21:40:06
2836,M,25,12,07974,2000-10-26 18:47:56
2884,F,50,3,53222,2000-10-30 00:40:09
2893,M,25,1,94025,2000-10-20 02:44:52
2902,M,25,12,98007,2000-10-18 12:03:41
2908,M,18,2,74403,2000-10-17 22:02:51
2920,M,25,2,55116,2000-10-16 15:24:47
2923,M,35,12,44256,2000-10-15 18:32:48
2930,M,50,17,45420,2000-10-14 18:43:49
2977,F,18,4,48104,2000-10-08 19:13:11
2982,M,25,4,54902,2000-10-07 19:42:28
2984,M,25,4,48105,2000-10-07 01:03:02
3021,F,45,15,78750,2000-10-02 20:16:53
3027,M,18,4,85719,2000-10-02 06:03:56
3040,M,25,8,22046,2000-09-29 21:56:07
3068,F,35,9,66204,2000-09-26 20:42:29
3076,M,35,17,30024,2000-09-25 06:10:12
3133,M,18,4,33720,2000-09-16 19:54:44
3176,M,25,17,95129,2000-09-14 01:05:54
3188,M,56,13,55344,2000-09-11 15:18:16
3222,M,35,7,10583,2000-09-08 23:08:19
3225,M,18,0,15237,2000-09-08 22:00:09
3234,F,1,0,90012,2000-09-08 01:43:19
3236,M,18,15,87111,2000-09-07 23:46:02
3244,F,18,4,92647,2000-09-07 10:18:39
3254,F,35,6,95843,2000-09-07 02:06:57
3273,M,35,7,11201,2000-09-06 02:30:31
3275,M,35,7,10028,2000-09-06 00:50:03
3282,M,45,3,20009,2000-09-05 16:49:43
3287,M,56,13,27514-3540,2000-09-05 01:06:41
3291,F,25,7,27516,2000-09-04 19:05:46
3324,M,35,17,48083,2000-09-02 19:28:47
3330,F,35,1,47933,2000-09-02 04:40:28
3376,M,35,16,10803,2000-08-30 01:26:23
3388,F,25,1,92646,2000-08-29 06:39:07
3396,M,25,12,15217,2000-08-28 21:03:58
3407,F,45,5,60050,2000-08-28 03:28:26
3421,M,45,7,94501,2000-08-28 00:46:10
3455,F,25,0,07701,2000-08-25 22:58:29
3488,M,45,17,80228,2000-08-23 20:18:30
3495,M,18,4,94608,2000-11-21 21:24:43
3530,M,25,0,77058,2000-08-22 01:02:58
3542,M,25,15,14803,2000-08-21 19:26:03
3552,F,35,2,02879,2000-08-21 03:39:54
3570,M,35,12,19050,2000-08-20 05:37:37
3616,M,45,0,33759,2000-08-18 15:24:35
3623,M,35,11,43209,2000-08-18 05:45:52
3633,M,35,18,60441,2000-08-17 18:40:54
3634,M,50,1,88001,2000-10-21 15:46:04
3636,M,25,0,06708,2000-08-17 08:37:23
3642,F,25,7,98188,2000-08-17 03:54:53
3739,M,56,11,48070,2000-08-13 18:45:08
3783,M,25,7,97267,2000-08-11 23:23:00
3787,F,25,0,94703,2000-08-11 21:58:34
3788,F,18,0,94587,2000-08-11 21:56:26
3802,M,18,0,94520,2000-08-11 11:32:32
3803,F,35,9,19006,2000-08-11 10:53:28
3838,F,25,14,10033,2000-08-10 18:28:30
3877,M,45,1,33705,2000-08-09 18:34:58
3883,M,50,16,78411,2000-08-24 19:24:45
3897,M,56,17,92069,2000-08-09 03:01:03
3915,F,35,3,71111,2000-08-08 18:28:16
3933,F,35,6,48073,2000-08-08 05:38:28
3939,M,45,7,91405,2000-08-08 04:18:45
3969,M,56,7,12345,2000-08-07 18:02:56
4008,M,18,1,92802,2000-08-06 10:15:58
4010,M,25,14,94533,2000-08-06 09:54:11
4038,M,50,6,11510-2001,2000-08-05 23:16:28
4056,M,1,10,28270,2000-08-05 18:45:34
4065,F,45,5,48341,2000-08-05 14:29:22
4068,M,56,3,89185,2000-08-05 09:42:45
4073,M,25,6,70003,2000-08-05 07:38:31
4110,F,45,7,41722,2000-08-04 08:20:06
4142,M,56,7,01040,2000-08-04 03:25:44
4143,F,25,5,60441,2000-08-04 02:50:46
4154,M,25,1,29440,2000-08-04 00:45:54
4158,F,1,10,90039,2000-08-08 23:18:58
4159,F,50,9,01450,2000-08-04 00:11:12
4166,F,25,7,75240,2000-08-03 23:57:28
4176,M,45,7,19008,2000-08-03 22:29:53
4178,F,50,16,08033,2000-08-03 22:46:41
4192,M,35,17,77521,2000-08-03 20:49:55
4197,F,45,1,18042,2000-08-03 20:46:13
4201,F,25,0,65550,2000-08-03 19:59:09
4202,M,25,7,21234,2000-08-03 19:48:06
4209,M,56,0,37363,2000-08-03 19:34:48
4211,M,45,5,77662,2000-08-03 19:14:09
4228,M,50,18,20706,2000-08-03 17:40:22
4230,M,56,13,34235,2000-08-03 17:22:31
4244,M,35,17,48146,2000-08-03 16:46:37
4254,M,25,17,38654,2000-08-03 15:46:15
4259,M,35,17,45380,2000-08-03 15:26:34
4264,M,45,1,60102,2000-08-03 15:22:20
4270,M,45,7,13211,2000-08-03 14:27:19
4325,M,25,0,30082,2000-08-03 00:23:38
4332,F,25,3,60606,2000-08-02 21:00:02
4348,M,45,0,30189,2000-08-05 17:19:05
4365,F,50,16,46350,2000-08-02 05:35:50
4383,F,18,4,93940,2000-08-02 02:51:42
4393,M,18,4,43402,2000-08-01 23:01:45
4398,F,18,4,43612,2000-08-01 23:00:37
4413,M,1,13,37130,2000-08-01 19:44:57
4419,F,45,12,15801,2000-08-01 13:59:49
4421,M,45,0,90024,2000-08-01 11:33:07
4427,M,18,0,51104,2000-08-01 07:20:10
4463,M,50,7,07405,2002-09-06 21:03:59
4464,F,50,1,62052,2000-07-31 22:24:30
4492,M,56,13,45322-3132,2000-07-31 04:13:01
4515,M,56,13,29449,2000-07-31 01:56:34
4525,M,25,14,10021,2000-07-28 21:21:13
4527,M,18,0,38111,2000-07-28 19:25:19
4547,M,18,12,02115,2000-07-27 01:18:03
4548,M,18,2,27514,2000-07-27 00:42:58
4554,F,25,9,48306,2000-07-25 21:04:36
4558,M,35,14,48217,2000-07-25 16:08:35
4576,F,25,7,48237,2000-07-24 20:59:48
4597,F,25,4,22207,2000-07-22 02:10:54
4614,F,45,1,10469,2000-07-21 04:40:53
4622,M,25,12,55433,2000-07-20 21:19:49
4628,F,56,6,23225,2000-07-20 03:08:52
4665,M,35,2,03431,2000-07-17 17:44:17
4672,M,56,13,94306,2000-07-16 22:54:02
4677,M,50,6,05055,2000-09-14 08:45:59
4703,M,25,7,02035,2000-07-14 05:20:30
4741,M,35,7,15203,2000-07-11 01:15:44
4749,M,45,0,23462,2000-07-10 06:30:46
4752,F,18,4,94121,2000-07-10 01:49:52
4775,M,25,17,23462,2000-07-08 08:22:59
4839,F,50,6,95014,2000-07-06 10:39:09
4851,M,18,17,44406,2000-07-06 01:13:25
4871,M,18,12,04096,2000-07-05 19:55:18
4880,F,45,9,95030,2000-07-05 05:29:08
4881,M,45,16,55406,2000-07-05 03:14:36
4900,M,25,20,33626,2000-07-04 08:08:42
4912,F,50,20,98115,2000-07-04 05:22:32
4926,M,1,10,55616,2000-07-06 01:08:19
4935,M,35,17,62958,2000-07-03 21:08:18
4943,F,50,0,55401,2000-07-03 19:31:24
4944,M,50,17,14568,2000-07-03 19:27:39
4991,F,56,14,91791,2000-07-03 05:47:05
4992,F,25,2,55106,2001-03-18 00:09:49
5007,F,18,4,91030,2000-07-03 03:54:49
5012,M,50,15,48103,2000-07-03 03:30:44
5027,F,25,14,05345,2000-07-02 23:46:25
5028,M,25,12,92404,2000-07-02 23:35:00
5052,M,35,16,02536,2000-07-02 01:48:53
5062,M,50,16,65401,2000-07-01 22:49:32
5116,M,35,6,95521,2000-06-29 21:46:03
5117,F,25,0,70118,2000-07-01 19:30:20
5119,F,25,0,10011,2000-07-20 02:44:41
5122,M,25,0,20009,2000-06-28 20:32:08
5145,M,35,7,77565-2332,2000-06-26 17:16:35
5159,M,35,7,37027,2000-06-27 05:45:50
5168,M,35,7,01720,2000-06-25 03:21:40
5174,M,45,1,45208,2000-06-24 19:12:46
5192,M,25,7,80303,2000-06-22 23:07:44
5207,M,25,0,98102,2000-06-22 01:22:53
5215,F,56,6,91941,2000-06-21 04:34:01
5216,M,18,2,81291,2000-06-21 04:32:25
5228,M,1,0,75070,2000-06-22 04:38:52
5238,F,50,16,07462,2000-06-19 22:13:47
5258,M,35,4,58369,2000-06-17 04:54:41
5295,M,35,7,55124,2000-06-15 05:05:35
5309,M,25,0,02478,2000-06-13 23:38:55
5314,F,25,0,94107,2000-06-13 21:01:41
5320,F,18,5,43201,2000-06-13 05:32:00
5380,M,18,4,01125,2000-06-07 18:52:08
5381,M,25,14,10009,2000-06-13 23:42:55
5388,F,18,4,10580,2000-06-07 00:52:37
5391,M,25,7,10016,2000-06-06 23:48:20
5392,M,50,1,98112,2000-06-06 23:52:46
5400,F,18,4,30010,2000-06-06 12:34:30
5409,M,45,1,60091,2000-06-06 01:45:42
5411,F,1,19,14850,2001-10-21 01:46:45
5439,M,56,13,19119,2000-07-02 18:19:29
5465,F,25,0,10019,2000-06-02 01:27:00
5525,F,1,10,55311,2000-05-30 00:51:04
5529,M,18,6,05273,2000-05-29 21:22:27
5533,F,50,2,10025,2000-05-29 17:16:39
5579,F,35,7,07039,2000-05-26 00:18:54
5606,F,25,14,21046,2000-05-24 21:50:15
5608,M,18,3,78722,2000-05-24 19:55:43
5628,M,18,4,90024,2000-05-23 00:03:12
5635,F,35,9,06854,2003-01-26 08:49:02
5690,M,18,4,78666,2000-05-18 00:40:02
5696,F,25,14,97367,2000-05-17 22:07:51
5725,M,18,2,10018,2000-05-16 20:06:58
5735,M,25,6,19342,2000-05-17 00:08:10
5772,M,35,7,16365,2000-05-13 01:10:25
5796,F,25,7,10003,2000-05-11 19:10:09
5800,M,35,18,90804,2000-05-11 06:21:10
5804,F,35,7,94306,2000-05-11 00:11:55
5810,M,50,16,95070,2000-05-10 09:12:27
5828,M,25,17,90048,2000-05-09 20:35:40
5863,F,25,14,89511,2000-05-07 05:26:29
5876,M,50,7,30066,2000-05-05 21:51:44
5877,M,18,12,02138,2000-05-05 21:38:23
5899,M,35,17,30024,2000-05-04 16:02:21
5904,F,45,12,954025,2000-05-03 22:09:34
5918,M,25,12,55105,2001-02-21 23:39:20
5932,M,18,14,90038,2000-05-02 02:49:57
5967,M,50,16,73069-5429,2000-04-29 03:42:22
6012,M,35,15,02871,2000-04-26 23:26:58
6034,M,25,14,94117,2000-04-26 04:26:28
6038,F,56,1,14706,2000-04-26 05:46:44
