id,Title,Year,Age rate,Release date,Genre,Animation,Family,Romance,nan,Documentary,Action,Music,Horror,Comedy,Adventure,History,War,Short,Film-Noir,Adult,Crime,Drama,Thriller,Mystery,Sport,Musical,Sci-Fi,Biography,Fantasy,Western
27,Now and Then,1995,PG-13,20 Oct 1995,"Comedy, Drama, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
28,Persuasion,1995,PG,27 Sep 1995,"Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
29,The City of Lost Children,1995,R,15 Dec 1995,"Fantasy, Sci-Fi",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
30,Shanghai Triad,1995,R,22 Dec 1995,"Crime, Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
31,Dangerous Minds,1995,R,11 Aug 1995,"Biography, Drama",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
32,Twelve Monkeys,1995,R,05 Jan 1996,"Mystery, Sci-Fi, Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
33,Wings of Courage,1995,G,18 Sep 1996,"Adventure, Romance",False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,Babe,1995,G,04 Aug 1995,"Comedy, Drama, Family",False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
35,Carrington,1995,R,10 Nov 1995,"Biography, Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
36,Dead Man Walking,1995,R,02 Feb 1996,"Crime, Drama",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
37,Across the Sea of Time,1995,G,20 Oct 1995,"Adventure, Drama, Family",False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
38,It Takes Two,1995,PG,17 Nov 1995,"Comedy, Family, Romance",False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,Clueless,1995,PG-13,19 Jul 1995,"Comedy, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,"Cry, the Beloved Country",1995,PG-13,15 Dec 1995,"Drama, Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
41,Richard III,1995,R,29 Dec 1995,"Drama, Sci-Fi, War",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
42,Dead Presidents,1995,R,06 Oct 1995,"Action, Crime, Drama",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
43,Restoration,1995,R,02 Feb 1996,"Biography, Drama, History",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
44,Mortal Kombat,1995,PG-13,18 Aug 1995,"Action, Adventure, Fantasy",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
45,To Die For,1995,R,06 Oct 1995,"Comedy, Crime, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
46,How to Make an American Quilt,1995,PG-13,06 Oct 1995,"Comedy, Drama, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
47,Se7en,1995,R,22 Sep 1995,"Crime, Drama, Mystery",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
48,Pocahontas,1995,G,23 Jun 1995,"Animation, Adventure, Drama",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
49,When Night Is Falling,1995,R,17 Nov 1995,"Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
50,The Usual Suspects,1995,R,15 Sep 1995,"Crime, Mystery, Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False
51,Guardian Angel,1994,R,22 Nov 1994,"Action, Drama, Thriller",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
52,Mighty Aphrodite,1995,R,10 Nov 1995,"Comedy, Fantasy, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
53,Lamerica,1994,UNRATED,04 Oct 1995,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
54,The Big Green,1995,PG,29 Sep 1995,"Comedy, Family, Sport",False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
55,Georgia,1995,R,08 Dec 1995,"Drama, Music",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
56,Kids of the Round Table,1995,UNRATED,15 Dec 1995,"Adventure, Comedy, Family",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,Home for the Holidays,1995,PG-13,03 Nov 1995,"Comedy, Drama, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
58,Il Postino,1994,PG,22 Mar 1996,"Biography, Comedy, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
59,The Confessional,1995,UNRATED,16 Aug 1996,"Drama, Mystery, Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
60,The Indian in the Cupboard,1995,PG,14 Jul 1995,"Drama, Family, Fantasy",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
61,Eye for an Eye,1996,R,12 Jan 1996,"Crime, Drama, Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
62,Mr. Holland's Opus,1995,PG,19 Jan 1996,"Drama, Music",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,R,12 Jan 1996,"Comedy, Crime",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
64,Two if by Sea,1996,R,12 Jan 1996,"Comedy, Crime, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
65,Bio-Dome,1996,PG-13,12 Jan 1996,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,Lawnmower Man 2: Beyond Cyberspace,1996,PG-13,12 Jan 1996,"Action, Sci-Fi, Thriller",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
67,Two Bits,1995,PG-13,22 Nov 1995,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
68,French Twist,1995,R,19 Jan 1996,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,Friday,1995,R,26 Apr 1995,"Comedy, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
70,From Dusk Till Dawn,1996,R,19 Jan 1996,"Action, Crime, Horror",False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
71,Fair Game,1995,R,03 Nov 1995,"Action, Crime, Romance",False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
72,Kicking and Screaming,1995,R,06 Oct 1995,"Comedy, Drama, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
73,Les Misérables,1995,R,03 Nov 1995,"Drama, History",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
74,Bed of Roses,1996,PG,26 Jan 1996,"Romance, Drama",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
75,Big Bully,1996,PG,26 Jan 1996,"Comedy, Thriller",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
76,Screamers,1995,R,26 Jan 1996,"Sci-Fi, Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
77,Nico Icon,1995,UNRATED,16 Nov 1995,"Documentary, Biography, Music",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
78,The Crossing Guard,1995,R,16 Nov 1995,"Drama, Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
79,The Juror,1996,R,02 Feb 1996,"Drama, Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
80,The White Balloon,1995,UNRATED,27 Nov 1995,"Drama, Family",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
81,Things to Do in Denver when You're Dead,1995,R,01 Dec 1995,"Crime, Drama",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
82,Antonia's Line,1995,R,02 Feb 1996,"Comedy, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
83,Once Upon a Time... When We Were Colored,1995,PG,26 Jan 1996,"Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
84,Last Summer in the Hamptons,1995,R,15 Sep 1996,"Comedy, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
85,Angels and Insects,1995,R,26 Jan 1996,"Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
86,White Squall,1996,PG-13,02 Feb 1996,"Adventure, Drama",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
87,Dunston Checks In,1996,PG,12 Jan 1996,"Comedy, Adventure, Family",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,Black Sheep,1996,PG-13,02 Feb 1996,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,Nick of Time,1995,R,22 Nov 1995,"Action, Crime, Drama",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
90,The Journey of August King,1995,PG-13,26 Jan 1996,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
92,Mary Reilly,1996,R,23 Feb 1996,"Drama, Horror, Romance",False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
93,Vampire in Brooklyn,1995,R,27 Oct 1995,"Comedy, Fantasy, Horror",False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
94,Beautiful Girls,1996,R,09 Feb 1996,"Comedy, Drama, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
95,Broken Arrow,1996,R,09 Feb 1996,"Action, Adventure, Thriller",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
96,A Midwinter's Tale,1995,R,16 Feb 1996,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,La Haine,1995,UNRATED,23 Feb 1996,"Crime, Drama",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
98,Shopping,1994,R,09 Feb 1996,"Action, Crime, Drama",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
99,Heidi Fleiss: Hollywood Madam,1995,UNRATED,09 Feb 1996,"Documentary, Biography",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
100,City Hall,1996,R,16 Feb 1996,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
101,Bottle Rocket,1996,R,21 Feb 1996,"Comedy, Crime, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
102,Mr. Wrong,1996,PG-13,16 Feb 1996,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
103,Unforgettable,1996,R,23 Feb 1996,"Drama, Mystery, Sci-Fi",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
104,Happy Gilmore,1996,PG-13,16 Feb 1996,"Comedy, Sport",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
105,The Bridges of Madison County,1995,PG-13,02 Jun 1995,"Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
106,Nobody Loves Me,1994,UNRATED,12 Jan 1995,"Comedy, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
107,Muppet Treasure Island,1996,G,16 Feb 1996,"Action, Adventure, Comedy",False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,Catwalk,1995,UNRATED,16 May 1996,Documentary,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109,Headless Body in Topless Bar,1995,UNRATED,16 Feb 1996,"Comedy, Crime, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
110,Braveheart,1995,R,24 May 1995,"Biography, Drama, History",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
111,Taxi Driver,1976,R,08 Feb 1976,"Crime, Drama",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
112,Rumble in the Bronx,1995,R,23 Feb 1996,"Action, Comedy, Crime",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
113,Before and After,1996,PG-13,23 Feb 1996,"Crime, Drama, Mystery",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
114,Margaret's Museum,1995,R,26 Jan 1996,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
115,Happiness Is in the Field,1995,UNRATED,31 Jan 1997,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,Anne Frank Remembered,1995,PG,08 Jun 1995,"Documentary, Biography, War",False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
117,The Young Poisoner's Handbook,1995,R,23 Feb 1996,"Crime, Drama",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
118,If Lucy Fell,1996,R,08 Mar 1996,"Comedy, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119,Steal Big Steal Little,1995,PG-13,29 Sep 1995,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,Race the Sun,1996,PG,22 Mar 1996,"Adventure, Comedy, Drama",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
121,The Boys of St. Vincent,1993,UNRATED,06 Dec 1992,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
122,Boomerang,1992,R,01 Jul 1992,"Comedy, Drama, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
123,Chungking Express,1994,PG-13,08 Mar 1996,"Crime, Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
124,The Star Maker,1995,R,08 Mar 1996,"Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
125,Flirting With Disaster,1996,R,12 Apr 1996,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
126,The NeverEnding Story III,1994,G,27 Oct 1994,"Adventure, Comedy, Family",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,The Silences of the Palace,1994,UNRATED,07 Sep 1994,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
128,Jupiter's Wife,1994,UNRATED,08 Sep 1995,"Documentary, Biography, Mystery",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
129,Pie in the Sky,1995,UNRATED,13 Mar 1994,"Comedy, Crime, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
130,Angela,1995,UNRATED,01 Jan 1995,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
131,Frankie Starlight,1995,R,22 Nov 1995,"Drama, Romance, War",False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
132,Jade,1995,R,13 Oct 1995,"Crime, Drama, Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
133,Nueba Yol,1995,UNRATED,16 Aug 1995,"Comedy, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
134,Sonic Outlaws,1995,UNRATED,01 Aug 1995,Documentary,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
135,Down Periscope,1996,PG-13,01 Mar 1996,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
136,From the Journals of Jean Seberg,1995,UNRATED,01 Mar 1996,"Documentary, Biography",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
137,Man of the Year,1995,UNRATED,15 Mar 1996,"Comedy, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
138,The Neon Bible,1995,UNRATED,01 Mar 1996,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
139,Target,1995,UNRATED,28 Feb 1996,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
140,Up Close & Personal,1996,PG-13,01 Mar 1996,"Drama, Romance",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
141,The Birdcage,1996,R,08 Mar 1996,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
142,Cienie,1988,UNRATED,22 Aug 1988,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
143,Gospa,1995,PG,13 Oct 1995,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
144,The Brothers McMullen,1995,R,15 Nov 1995,"Comedy, Drama, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
145,Bad Boys,1995,R,07 Apr 1995,"Action, Comedy, Crime",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
146,The Amazing Panda Adventure,1995,PG,25 Aug 1995,"Family, Adventure, Drama",False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
147,The Basketball Diaries,1995,R,21 Apr 1995,"Biography, Crime, Drama",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
148,An Awfully Big Adventure,1995,R,21 Jul 1995,"Comedy, Drama, Romance",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
149,Amateur,1994,R,19 May 1995,"Comedy, Crime, Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
150,Apollo 13,1995,PG,30 Jun 1995,"Adventure, Drama, History",False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
151,Rob Roy,1995,R,14 Apr 1995,"Adventure, Biography, History",False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
152,The Addiction,1995,UNRATED,06 Oct 1995,Horror,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153,Batman Forever,1995,PG-13,16 Jun 1995,"Action, Adventure, Fantasy",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
154,Belle de jour,1967,R,10 Apr 1968,Drama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
155,Beyond Rangoon,1995,R,25 Aug 1995,"Action, Drama",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
156,Blue in the Face,1995,R,13 Oct 1995,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
157,Canadian Bacon,1994,PG,22 Sep 1995,Comedy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
158,Casper,1995,PG,26 May 1995,"Comedy, Family, Fantasy",False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
159,Clockers,1995,R,13 Sep 1995,"Crime, Drama, Mystery",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
160,Congo,1995,PG-13,09 Jun 1995,"Action, Adventure, Mystery",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
