gender,age,occupation_code,zip,last_rate
1,2,12,2999,2000-12-11 22:53:21
1,2,0,138,2000-12-11 23:11:26
1,2,20,1510,2000-12-11 22:03:13
0,3,7,1518,2000-12-11 21:29:42
1,4,9,1727,2000-12-11 15:57:37
0,5,5,2097,2000-12-11 10:06:46
0,1,2,2809,2000-12-11 07:46:13
1,1,4,866,2000-12-11 06:55:55
0,2,0,1143,2000-12-11 04:42:40
0,1,4,1924,2001-12-22 02:02:00
1,5,2,1503,2000-12-10 21:39:43
1,1,4,3202,2000-12-10 21:01:58
1,6,1,2721,2000-12-10 18:35:10
0,6,13,1107,2000-12-10 18:48:18
0,3,7,393,2000-12-10 17:19:31
1,6,13,1149,2000-12-10 07:44:34
0,3,6,2621,2000-12-10 05:26:22
0,6,17,1650,2000-12-29 02:22:29
0,3,17,2058,2000-12-10 02:29:16
1,5,3,1487,2000-12-10 01:23:21
0,3,12,2412,2000-12-09 23:20:05
0,6,7,678,2001-03-24 18:42:08
0,5,1,69,2001-12-25 16:37:38
1,6,2,1511,2000-12-09 18:45:53
1,6,13,1835,2000-12-09 07:31:50
0,3,14,1420,2000-12-09 06:45:24
0,2,12,2291,2000-12-09 06:20:09
1,6,1,3145,2000-12-09 05:32:28
0,4,20,1058,2000-12-09 03:56:33
1,3,7,1737,2000-12-09 04:40:01
0,3,1,1650,2000-12-09 03:11:20
0,6,20,1436,2001-01-16 12:38:06
0,1,0,2924,2000-12-09 01:53:08
1,6,1,2529,2000-12-09 01:28:11
0,2,17,831,2000-12-09 01:19:25
0,3,17,2324,2000-12-09 01:40:05
1,2,14,1544,2000-12-12 19:05:45
0,3,20,641,2001-02-01 21:43:26
0,1,10,2949,2000-12-08 23:55:30
1,3,1,405,2000-12-08 23:38:43
1,1,4,3202,2000-12-10 01:44:19
0,5,12,1992,2000-12-08 23:07:36
0,3,1,946,2000-12-08 23:23:31
0,1,17,3052,2000-12-12 22:02:02
0,1,4,1718,2000-12-09 00:49:42
1,2,2,2477,2000-12-08 21:53:26
1,3,14,625,2000-12-08 22:07:22
0,2,2,2058,2001-01-18 21:56:05
1,1,0,2721,2000-12-08 21:03:38
1,3,1,2689,2000-12-08 21:21:23
0,3,17,1062,2000-12-08 20:45:59
1,3,20,975,2001-01-29 22:23:38
1,2,7,2009,2000-12-08 22:11:29
0,2,11,1484,2000-12-08 20:35:39
1,3,7,2306,2001-01-21 02:30:07
1,2,0,3070,2000-12-08 20:47:38
0,2,6,235,2000-12-08 20:21:54
0,4,11,438,2001-02-05 02:06:32
0,3,17,498,2000-12-08 20:05:34
0,1,0,791,2000-12-08 19:45:12
0,1,5,1149,2000-12-08 20:14:58
0,3,17,3009,2000-12-08 19:07:48
1,3,6,831,2000-12-08 18:55:14
1,1,3,1515,2000-12-08 18:57:19
0,1,0,3247,2000-12-08 19:07:08
0,1,4,740,2001-04-29 03:13:39
0,6,1,2340,2001-06-18 18:04:19
0,1,17,2394,2000-12-08 17:22:22
1,2,1,1277,2000-12-08 17:37:20
0,2,11,2445,2000-12-08 17:06:46
0,2,0,894,2000-12-08 16:54:16
0,4,14,3206,2000-12-08 17:54:06
1,2,0,823,2000-12-08 16:27:05
1,2,3,1242,2000-12-08 16:35:43
0,3,1,2503,2001-02-26 19:01:46
1,4,3,1784,2000-12-08 15:40:36
0,6,17,1149,2003-01-09 00:38:28
0,1,4,1428,2000-12-08 15:29:13
0,3,12,1149,2000-12-08 14:32:17
1,1,4,1428,2000-12-08 09:39:21
1,1,10,415,2000-12-08 07:02:40
0,1,10,217,2000-12-21 05:12:04
0,4,16,415,2000-12-08 06:39:51
0,5,6,1674,2000-12-08 06:24:19
1,4,3,109,2000-12-08 06:11:35
0,3,17,2289,2000-12-08 14:29:38
0,3,14,3247,2001-04-24 02:40:36
0,6,1,150,2000-12-08 04:37:43
0,3,1,2495,2000-12-08 04:29:23
0,2,3,1992,2000-12-11 04:02:35
1,5,0,2151,2000-12-08 03:39:09
1,4,11,2721,2000-12-08 02:45:06
0,2,17,2610,2000-12-08 02:32:04
0,2,7,1014,2000-12-08 02:20:21
0,4,1,2511,2000-12-08 02:23:39
1,3,2,1511,2000-12-08 01:34:57
0,5,16,1327,2000-12-08 01:01:44
1,1,4,2721,2000-12-08 01:36:36
0,4,18,2408,2000-12-08 00:56:18
1,1,4,1428,2000-12-08 00:24:04
0,1,19,3393,2000-12-08 00:36:46
1,3,3,1484,2000-12-08 00:34:23
1,0,10,2035,2000-12-07 23:50:01
0,3,6,2045,2000-12-07 23:45:45
1,0,10,2207,2000-12-07 23:21:43
0,3,0,2102,2000-12-07 22:54:41
1,1,4,1487,2000-12-20 21:53:59
0,5,16,1511,2000-12-16 06:31:41
0,2,12,2151,2000-12-07 22:02:46
0,1,12,2721,2000-12-07 21:25:11
1,0,10,1149,2000-12-07 21:26:33
0,6,7,2151,2000-12-07 21:28:27
0,6,0,838,2000-12-07 21:14:53
1,3,17,2035,2003-01-27 20:01:40
0,2,12,2759,2000-12-07 20:54:08
0,1,4,1428,2000-12-07 20:50:21
0,0,10,1890,2000-12-07 21:19:11
0,1,4,3186,2000-12-07 20:50:13
0,2,12,1487,2000-12-07 20:45:58
0,1,10,1992,2000-12-07 21:04:35
1,2,17,3226,2000-12-07 20:40:57
0,2,2,3192,2000-12-07 20:00:00
0,3,6,1469,2000-12-07 19:42:03
0,3,11,162,2000-12-07 19:58:24
0,2,16,116,2000-12-07 18:57:38
1,2,0,1327,2001-01-09 20:18:15
0,1,12,69,2000-12-07 18:56:03
1,4,4,1112,2000-12-07 18:40:57
0,3,0,1168,2000-12-07 18:23:32
0,2,2,1511,2001-03-15 02:06:53
1,3,14,523,2001-01-12 23:51:48
0,6,7,2721,2000-12-07 16:21:37
0,2,12,149,2000-12-07 15:54:44
0,3,6,2315,2000-12-19 07:03:37
0,4,17,2000,2000-12-07 06:03:12
1,2,2,1587,2000-12-07 05:58:36
0,2,7,1572,2000-12-07 00:12:39
0,3,6,1879,2000-12-06 23:44:13
0,4,14,501,2000-12-06 23:25:09
0,6,16,2910,2000-12-06 21:44:04
0,1,1,3335,2000-12-06 20:21:33
0,1,4,322,2000-12-06 18:40:06
0,3,12,990,2000-12-06 21:30:17
0,3,17,535,2000-12-06 04:58:05
0,3,12,83,2000-12-06 04:26:53
0,5,18,2321,2000-12-06 03:00:58
0,2,2,2644,2000-12-06 02:37:58
0,2,12,1658,2000-12-06 01:05:39
0,1,4,2271,2000-12-06 00:38:13
0,6,1,1134,2000-12-05 22:59:40
1,2,7,1574,2000-12-05 22:10:42
1,1,14,1560,2000-12-05 21:56:40
0,3,20,2938,2000-12-05 21:06:27
0,4,1,3362,2000-12-05 20:31:44
0,2,16,1971,2000-12-05 20:01:36
0,3,20,550,2000-12-05 18:34:39
1,5,17,200,2000-12-05 17:22:37
0,1,4,121,2000-12-05 08:08:27
1,3,2,112,2000-12-05 07:38:34
0,2,19,3018,2000-12-05 06:41:21
1,4,15,287,2000-12-06 02:45:50
0,1,17,1917,2000-12-05 03:17:48
0,2,5,1861,2000-12-05 03:02:44
0,0,10,1561,2000-12-05 01:19:42
0,5,14,2639,2000-12-04 23:49:45
0,1,4,1478,2001-02-12 18:45:56
1,2,0,160,2001-06-15 02:21:06
0,3,14,2437,2000-12-04 19:04:24
0,1,2,2985,2000-12-04 10:46:42
0,1,0,3328,2000-12-04 06:12:10
1,2,1,6,2000-12-04 03:37:40
0,3,12,1908,2000-12-04 06:39:55
0,3,7,1694,2000-12-04 04:23:13
0,5,6,21,2000-12-04 01:12:52
0,3,17,2440,2000-12-29 04:23:29
1,2,6,3149,2000-12-03 22:08:51
1,0,10,1299,2000-12-04 03:22:25
0,2,0,2953,2000-12-03 19:40:21
0,2,7,2755,2001-11-26 00:18:17
0,5,7,874,2000-12-03 05:58:04
0,3,1,1647,2000-12-03 03:44:24
0,5,17,1002,2000-12-05 03:22:40
0,2,7,1544,2000-12-03 02:27:33
1,2,7,367,2000-12-03 02:01:08
0,2,0,1745,2000-12-03 01:47:29
1,1,1,198,2000-12-03 01:50:52
0,2,0,812,2000-12-03 00:30:50
1,3,12,2298,2000-12-02 22:12:10
0,1,4,1774,2001-06-16 06:37:40
0,5,2,1028,2000-12-02 21:00:41
1,3,0,588,2000-12-02 20:51:46
0,4,17,3063,2000-12-02 19:01:52
0,2,17,2644,2002-03-05 05:31:37
1,0,10,1816,2000-12-03 18:14:43
0,1,20,2272,2000-12-02 12:30:27
0,1,4,1696,2000-12-02 05:03:38
1,3,1,3156,2000-12-02 04:03:47
0,2,2,2144,2000-12-02 02:45:12
0,3,20,1692,2000-12-02 02:07:49
0,2,4,1721,2001-03-22 03:26:59
0,2,17,188,2001-02-12 18:46:53
0,6,13,2741,2000-12-01 21:59:22
1,5,13,435,2000-12-29 19:20:41
1,2,0,3070,2000-12-01 19:46:44
0,4,1,3270,2000-12-01 22:21:57
0,1,2,2112,2000-12-01 06:42:21
1,2,3,2881,2000-12-01 04:04:10
0,2,12,587,2000-12-01 02:03:23
0,3,7,58,2000-12-01 01:14:19
0,2,17,2881,2000-12-01 20:19:49
0,2,20,2252,2000-11-30 23:16:16
0,3,16,297,2000-11-30 20:22:09
0,2,12,425,2000-11-30 19:12:13
0,3,7,2998,2000-11-30 19:03:41
0,2,4,2100,2000-11-30 18:49:29
0,2,4,1940,2000-11-30 18:38:04
0,2,4,2100,2000-11-30 18:57:08
0,1,4,1940,2000-11-30 18:38:05
0,6,13,2677,2000-12-01 03:34:24
0,3,12,2924,2000-12-31 08:22:09
0,1,4,97,2000-11-30 07:32:29
0,5,17,505,2000-11-30 05:39:22
1,1,4,1747,2001-01-10 04:54:03
1,6,1,1615,2000-11-30 03:45:06
1,3,8,204,2000-11-30 03:46:33
0,3,7,1038,2001-02-03 15:05:44
0,2,0,1950,2000-11-30 01:59:25
0,1,0,1656,2000-11-30 01:44:09
0,1,0,2572,2001-01-15 19:05:09
0,2,11,2329,2000-11-29 22:30:37
0,0,0,2583,2000-11-29 22:05:49
0,2,12,2058,2000-11-29 21:09:42
0,2,12,751,2000-11-29 21:11:39
0,6,11,3345,2000-12-19 19:36:39
1,2,9,3321,2000-11-29 19:43:52
0,2,0,155,2000-11-29 17:26:37
0,2,7,2683,2000-11-29 09:15:18
0,1,17,2565,2000-12-08 06:32:12
0,2,14,2434,2000-11-29 07:15:12
0,2,5,1824,2000-11-29 07:09:19
0,1,0,3339,2000-11-29 06:06:49
0,0,10,3181,2000-12-03 01:26:02
0,1,4,540,2000-11-29 04:40:25
0,2,0,1532,2000-11-29 03:59:13
1,3,9,38,2000-12-06 03:03:25
1,2,17,3043,2000-11-29 02:52:41
0,3,0,1917,2000-11-29 01:23:08
0,3,7,2292,2000-12-02 03:13:19
1,6,3,1313,2000-11-29 01:23:29
0,6,15,2291,2000-12-04 18:45:53
0,1,7,1742,2000-11-29 00:43:33
0,0,10,2918,2000-11-29 00:49:06
0,1,10,2120,2000-11-29 00:52:19
1,2,7,632,2000-11-29 00:34:47
0,2,12,307,2000-12-11 18:30:21
0,4,17,304,2000-11-28 22:39:52
1,5,1,1979,2000-11-28 23:20:24
0,1,12,2925,2000-11-28 21:47:20
0,2,6,711,2000-11-30 22:48:37
0,0,17,986,2000-11-28 20:58:17
0,2,0,1626,2000-11-28 20:32:07
0,6,1,2788,2000-11-28 19:28:33
0,1,0,2226,2000-11-28 19:09:07
0,2,0,1363,2000-11-28 18:40:19
0,2,17,1238,2000-11-28 18:28:20
0,2,17,1747,2000-11-28 17:03:37
0,5,20,2413,2000-11-28 15:11:55
1,5,7,942,2000-11-28 14:25:56
1,2,5,977,2000-11-28 11:23:43
0,1,4,1489,2000-11-28 09:25:35
0,2,20,3207,2000-11-28 10:24:05
0,3,12,1944,2000-11-28 09:36:40
0,3,0,48,2000-11-28 19:36:21
0,1,4,1062,2000-11-28 08:50:14
0,2,17,645,2000-11-28 09:18:27
0,5,0,258,2000-12-02 07:31:02
0,2,6,519,2000-11-28 09:23:05
0,1,4,277,2000-11-28 08:44:04
1,1,4,812,2000-11-28 08:29:39
0,2,4,1338,2000-11-28 08:33:29
0,3,7,688,2000-11-28 06:15:37
0,1,2,3176,2000-11-28 05:32:19
0,6,1,2384,2000-11-29 12:27:22
1,3,1,240,2000-11-28 03:12:43
0,4,2,2445,2001-11-06 02:35:31
1,4,0,3008,2000-11-28 00:36:53
0,3,7,1892,2000-11-28 00:23:27
1,3,12,2706,2000-11-28 00:17:58
0,6,0,1845,2000-11-27 23:44:19
0,2,11,3148,2000-11-27 23:38:54
0,6,7,1840,2000-11-27 23:35:20
1,5,14,1835,2000-11-27 22:32:08
1,1,0,2569,2000-11-28 01:03:50
0,2,0,2247,2000-11-27 23:28:45
1,1,0,1571,2000-11-27 22:23:52
1,2,7,2165,2000-11-27 21:58:00
0,2,15,2609,2001-04-08 01:34:32
0,1,4,1294,2000-11-27 20:29:46
0,2,5,2029,2000-11-27 20:07:53
1,4,6,1414,2002-04-27 00:31:19
0,3,17,1732,2000-11-27 19:41:57
0,1,0,338,2000-11-27 18:37:39
0,2,7,2016,2000-11-27 18:29:23
0,2,7,3282,2000-11-27 01:41:51
0,3,1,2749,2000-11-27 01:31:31
0,0,10,2697,2000-11-27 00:31:07
0,4,12,2098,2000-11-27 00:27:52
0,5,17,442,2000-11-27 00:18:22
1,2,1,3254,2000-11-26 23:57:47
0,0,10,2308,2000-11-26 23:33:14
0,4,15,2973,2001-12-31 01:26:50
0,0,10,1827,2000-11-26 23:43:32
0,1,2,137,2000-12-24 04:15:49
0,4,16,1526,2000-12-23 04:27:14
0,1,2,137,2000-11-26 20:18:12
1,3,14,2485,2000-12-02 06:12:27
0,0,10,3028,2002-04-27 03:37:01
0,3,0,815,2000-11-26 18:47:47
1,6,0,2397,2000-11-26 18:35:52
1,6,16,1890,2000-11-26 23:58:56
1,0,10,2697,2000-11-26 22:31:08
0,3,0,2891,2000-11-26 11:11:43
0,1,4,3023,2000-12-10 03:38:31
0,5,1,348,2000-11-26 08:56:08
0,1,15,594,2000-11-26 09:13:14
0,2,7,1774,2000-11-26 07:51:13
1,6,13,3209,2000-11-26 07:25:38
1,6,0,3334,2000-11-26 07:21:44
0,6,0,2005,2000-11-26 06:07:27
0,6,13,3127,2000-11-26 06:22:44
0,0,10,1990,2000-11-26 05:34:38
1,4,6,367,2000-11-26 05:06:29
1,5,1,3328,2000-11-26 05:16:12
0,4,7,2791,2000-11-29 00:43:13
1,3,2,953,2000-11-26 09:16:07
0,2,0,98,2002-09-03 04:56:59
1,3,9,1318,2000-12-16 04:13:47
0,2,7,861,2000-11-26 04:02:19
1,2,1,1900,2000-11-26 03:46:09
0,5,6,367,2000-11-26 04:58:25
0,1,4,250,2000-11-26 08:55:47
0,2,7,1810,2000-11-26 03:24:58
1,3,3,1528,2000-11-26 02:32:54
0,2,5,943,2002-09-08 00:43:30
1,3,6,988,2000-11-25 23:21:13
0,4,1,3362,2000-11-25 23:01:29
0,1,4,1568,2000-12-15 07:56:11
1,2,1,2161,2000-11-25 19:29:23
0,1,20,1437,2000-11-25 18:43:36
1,5,6,2276,2000-11-25 18:44:15
1,4,12,108,2002-08-23 19:11:34
0,3,0,1061,2000-11-25 17:35:14
0,3,7,1714,2000-11-25 14:37:37
0,1,0,2366,2000-11-25 13:35:44
0,3,7,3123,2000-11-25 09:44:35
0,4,2,772,2000-11-25 09:38:57
0,5,11,1426,2001-04-01 02:36:34
0,1,10,1663,2000-11-25 04:51:58
1,2,1,981,2001-01-15 01:44:10
0,2,7,1046,2000-11-25 04:07:09
0,6,7,3340,2000-11-25 07:07:16
1,1,0,3341,2000-11-25 03:43:07
0,5,12,1153,2000-11-25 03:19:51
1,2,11,404,2000-11-25 02:40:25
0,4,1,3202,2000-11-25 01:15:34
0,3,19,202,2000-11-25 01:07:26
0,3,14,1270,2000-11-25 00:44:04
0,1,0,1093,2000-11-25 01:26:41
0,0,10,1528,2001-05-30 23:10:20
1,2,9,3040,2000-11-24 23:49:39
1,2,16,557,2000-11-24 23:47:31
1,6,0,434,2000-11-28 06:15:41
0,5,11,3132,2000-12-24 16:32:23
0,5,0,1931,2000-11-24 22:25:12
1,2,9,1714,2000-11-29 00:10:40
1,3,3,1208,2000-11-24 17:34:25
0,2,0,2561,2001-08-06 12:20:19
0,1,2,2411,2000-11-25 05:04:31
1,1,4,1081,2000-11-24 23:02:56
0,0,19,1702,2001-01-08 02:52:12
1,2,6,2369,2000-11-24 07:07:01
0,5,11,3301,2000-12-09 06:22:39
0,2,2,1943,2000-11-24 06:18:30
0,3,11,289,2001-01-20 07:02:20
0,1,4,2588,2000-11-24 05:41:39
0,5,12,2025,2000-11-24 04:03:33
0,3,3,90,2000-11-24 03:53:30
0,5,7,1070,2000-11-24 03:11:13
0,2,8,1402,2000-11-24 02:40:28
1,3,1,2166,2000-11-24 16:22:20
0,6,13,3114,2000-11-23 23:53:40
1,4,17,1271,2000-11-23 23:42:45
0,1,20,2873,2002-01-19 03:35:24
0,6,13,1540,2000-11-23 20:46:57
1,3,1,0,2000-11-23 20:23:17
0,2,16,49,2000-11-23 20:06:33
1,4,0,2793,2000-12-21 00:23:34
0,1,4,1774,2000-11-23 20:12:48
1,4,7,2351,2000-11-23 19:59:38
0,1,2,628,2000-11-23 17:36:59
0,3,7,1060,2000-11-23 17:01:14
0,4,7,1445,2000-11-23 16:05:12
1,3,1,2977,2000-11-23 13:57:25
0,4,2,2345,2001-04-01 05:38:57
0,3,5,2699,2000-11-23 10:49:51
1,5,11,2123,2000-12-23 09:32:54
1,0,10,3166,2000-11-23 09:56:34
0,6,18,1435,2000-11-23 09:59:49
0,1,0,3357,2000-11-23 09:50:49
0,3,6,1862,2001-01-06 07:08:15
0,4,14,273,2000-11-23 09:02:03
1,3,2,892,2000-11-23 07:19:52
0,3,0,1061,2000-11-23 06:21:34
0,0,0,999,2000-11-23 06:27:06
0,1,10,1525,2000-11-30 04:43:41
0,4,0,1275,2002-01-31 04:17:20
1,2,0,122,2000-11-23 04:55:30
0,3,12,122,2002-03-21 21:44:51
1,4,2,1797,2000-11-23 03:12:13
1,2,6,1264,2000-11-23 02:22:48
1,2,3,776,2000-11-23 02:24:42
0,6,7,2674,2000-11-23 03:44:33
0,1,4,1087,2000-11-23 06:06:27
0,4,7,518,2000-11-23 02:35:57
0,6,0,1906,2000-11-23 01:11:55
0,2,7,3079,2000-11-23 03:12:10
0,3,6,558,2000-11-23 00:18:37
0,2,7,2281,2000-11-23 00:33:35
0,1,5,2709,2000-11-22 23:57:38
1,1,4,2231,2000-12-31 19:04:38
0,5,14,67,2000-11-22 23:55:30
1,6,6,2326,2000-11-23 18:59:07
0,3,7,1869,2000-11-22 22:36:10
0,1,1,2764,2000-11-22 22:06:01
1,4,7,386,2000-11-22 22:00:55
0,3,11,3148,2000-11-22 21:33:15
0,1,4,2799,2000-11-22 21:25:17
1,5,1,682,2001-10-24 04:45:03
0,6,1,180,2000-11-22 21:00:09
1,6,6,1774,2000-11-22 21:19:56
1,5,16,1396,2000-11-23 04:23:45
0,5,13,964,2000-11-22 22:32:59
0,5,0,827,2000-11-22 18:07:40
0,6,16,1032,2000-11-22 17:27:17
1,3,7,237,2000-11-23 07:22:16
0,1,12,1713,2000-11-22 10:10:57
0,5,7,1350,2000-11-22 08:31:51
0,2,7,847,2000-11-22 08:47:24
0,5,3,3328,2000-11-22 08:22:12
0,3,17,3235,2000-11-22 07:46:41
0,2,12,2924,2002-05-22 23:13:43
0,1,10,2940,2000-11-22 06:29:54
1,0,10,1608,2000-11-22 06:16:20
1,5,2,1405,2000-11-22 05:55:13
0,4,7,3271,2000-11-22 06:13:01
1,3,1,2129,2000-11-22 06:07:42
0,2,0,1488,2000-11-22 05:18:48
0,0,10,2316,2000-11-22 05:18:50
0,6,6,1593,2000-11-22 07:10:56
1,5,1,1469,2000-11-22 05:30:28
0,4,12,2291,2000-11-22 04:26:05
1,1,16,3154,2000-11-22 04:00:03
1,2,2,257,2000-11-22 03:53:51
1,2,17,1983,2000-11-22 03:57:56
0,6,0,2458,2000-11-22 03:41:34
1,5,20,924,2000-11-22 03:21:42
1,3,1,1307,2000-11-22 02:25:58
1,0,0,2985,2000-11-26 11:44:54
0,4,7,592,2000-11-22 01:55:48
0,2,0,204,2000-11-22 01:50:43
0,4,0,1325,2000-11-22 01:54:52
0,5,16,2924,2001-03-14 04:01:28
1,0,10,1787,2001-01-13 22:19:21
0,3,1,1090,2000-11-22 00:55:04
0,0,0,2348,2000-11-22 03:39:20
0,1,4,3167,2000-11-26 05:20:52
1,6,0,2335,2000-11-22 00:33:35
0,2,0,465,2000-11-21 23:49:54
0,2,17,1127,2000-11-29 21:54:16
1,5,1,168,2000-11-21 23:44:43
0,5,0,1061,2001-01-05 03:27:49
0,6,13,2124,2000-11-21 23:50:41
0,2,12,3225,2000-12-14 19:34:54
